run_id,ts_utc,ts_ist,nse_phase,venue,symbol,label,kind,ccy,liquidity_source,identifier,expiry,strike,moneyness,dte,lot,tick,contract_value,qty_mult,px_to_inr,usdt_inr_mid,usd_inr_official,underlying,last,bid,ask,mid,spread,spread_bps,bid_qty_units,ask_qty_units,depth_touch_bid_inr,depth_touch_ask_inr,depth_bid_1bp_inr,depth_ask_1bp_inr,depth_bid_2bp_inr,depth_ask_2bp_inr,depth_bid_5bp_inr,depth_ask_5bp_inr,depth_bid_10bp_inr,depth_ask_10bp_inr,depth_bid_25bp_inr,depth_ask_25bp_inr,depth_bid_50bp_inr,depth_ask_50bp_inr,ic_buy_1L_bps,ic_sell_1L_bps,ic_buy_10L_bps,ic_sell_10L_bps,ic_buy_50L_bps,ic_sell_50L_bps,ic_buy_1cr_bps,ic_sell_1cr_bps,visible_levels_bid,visible_levels_ask,total_buy_units,total_sell_units,volume,oi,notional_traded_inr,source_ts
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY FUT near,index_future,INR,native,FUTIDXNIFTY29-09-2026XX0.00,29-Sep-2026,,,,65.0,0.1,,1.0,1.0,99.69,96.021592,23299.7,23339.7,23339.2,23348.9,23344.050000000003,9.700000000000728,4.155234417335778,65.0,195.0,1517048.0,4553035.5,0.0,0.0,0.0,0.0,10619063.0,33390045.0,10619063.0,33390045.0,10619063.0,33390045.0,10619063.0,33390045.0,2.0776172086671094,2.077617208668668,2.0776172086671094,2.077617208668668,2.0814465592444362,2.141143530762185,2.1009505800330257,2.3160780626141797,5,5,156910.0,273130.0,14094.0,274140.0,21354679838.7,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY FUT next,index_future,INR,native,FUTIDXNIFTY27-10-2026XX0.00,27-Oct-2026,,,,65.0,0.1,,1.0,1.0,99.69,96.021592,23300.4,23445.0,23439.6,23449.0,23444.3,9.400000000001455,4.009503376087772,130.0,260.0,3047148.0,6096740.0,0.0,0.0,0.0,0.0,71607295.5,18292313.0,71607295.5,18292313.0,71607295.5,18292313.0,71607295.5,18292313.0,2.004751688043886,2.004751688043886,2.004751688043886,2.004751688043886,2.004751688043886,2.0214112349463815,2.2878869065663205,2.0344086240101342,5,5,67275.0,64480.0,2521.0,53507.0,3835937087.45,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23300 CE exp 22-Sep (5DTE),index_option_atm,INR,native,OPTIDXNIFTY22-09-2026CE23300.00,2026-09-22,23300.0,ATM,5,65.0,0.05,,1.0,1.0,99.69,96.021592,23298.95,134.3,134.35,134.7,134.52499999999998,0.3499999999999943,26.017468871956467,260.0,2340.0,34931.0,315198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706839.25,919792.25,872514.5,1103930.75,13.008734435979289,15.427521281165857,18.856384045934053,,,,,,5,5,2386540.0,975325.0,1898467.0,121691.0,2890294220841.95,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23300 PE exp 22-Sep (5DTE),index_option_atm,INR,native,OPTIDXNIFTY22-09-2026PE23300.00,2026-09-22,23300.0,ATM,5,65.0,0.05,,1.0,1.0,99.69,96.021592,23298.95,116.35,116.05,116.4,116.225,0.3500000000000085,30.11400301140104,2340.0,2080.0,271557.0,242112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701239.5,681229.25,1499624.75,1507122.5,15.05700150570113,15.057001505699906,22.067521576734574,21.73656641374229,,,,,5,5,2352610.0,847795.0,1471312.0,129554.0,2241319898313.6,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23400 CE exp 22-Sep (5DTE),index_option_otm,INR,native,OPTIDXNIFTY22-09-2026CE23400.00,2026-09-22,23400.0,OTM100,5,65.0,0.05,,1.0,1.0,99.69,96.021592,23298.95,85.1,84.9,85.1,85.0,0.19999999999998863,23.529411764704545,130.0,1170.0,11037.0,99567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419048.5,686474.75,683390.5,1296213.75,11.790161579005385,16.998163704170445,23.27370665435236,,,,,,5,5,2170870.0,961155.0,1089373.0,108978.0,1662336246023.7,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23200 PE exp 22-Sep (5DTE),index_option_otm,INR,native,OPTIDXNIFTY22-09-2026PE23200.00,2026-09-22,23200.0,OTM100,5,65.0,0.05,,1.0,1.0,99.69,96.021592,23298.95,79.3,79.1,79.3,79.19999999999999,0.20000000000000284,25.252525252525615,2665.0,2925.0,210801.49999999997,231952.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591032.0,845724.75,1874184.0,1878435.0,12.626262626263705,12.62626262626191,18.447494791688992,20.192762983356765,,,,,5,5,2759900.0,1559285.0,1667759.0,184269.0,2525608533003.4,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23300 CE exp 29-Sep (12DTE),index_option_atm_monthly,INR,native,OPTIDXNIFTY29-09-2026CE23300.00,2026-09-29,23300.0,ATM,12,65.0,0.05,,1.0,1.0,99.69,96.021592,23299.25,219.95,220.15,220.85,220.5,0.6999999999999886,31.74603174603123,260.0,130.0,57239.0,28710.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500649.5,315997.5,500649.5,315997.5,17.803534346375717,16.842779130449145,,,,,,,5,5,100815.0,181285.0,95989.0,47957.0,146635426498.6,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,NIFTY,NIFTY 23300 PE exp 29-Sep (12DTE),index_option_atm_monthly,INR,native,OPTIDXNIFTY29-09-2026PE23300.00,2026-09-29,23300.0,ATM,12,65.0,0.05,,1.0,1.0,99.69,96.021592,23299.25,173.0,172.25,172.75,172.5,0.5,28.985507246376812,325.0,195.0,55981.25,33686.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335738.0,224675.75,380471.0,269642.75,16.414703914194988,15.768866788677597,,,,,,,5,5,71760.0,88205.0,83202.0,54505.0,127088675422.8,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,BANKNIFTY,BANKNIFTY FUT near,index_future,INR,native,FUTIDXBANKNIFTY29-09-2026XX0.00,29-Sep-2026,,,,30.0,0.2,,1.0,1.0,99.69,96.021592,56232.7,56438.6,56444.8,56465.0,56454.9,20.19999999999709,3.5780773679516016,60.0,30.0,3386688.0,1693950.0,0.0,0.0,5080026.0,1693950.0,15239232.0,27109518.0,15239232.0,27109518.0,15239232.0,27109518.0,15239232.0,27109518.0,1.7890386839758008,1.7890386839758008,1.7890386839758008,1.7890386839758008,2.8542414249687496,1.8004695136969056,3.6243154487063096,2.201371310287005,5,5,36090.0,56280.0,7317.0,71017.0,12401603787.6,17-Sep-2026 12:04
20260917T063500Z,2026-09-17T06:35:00.245566+00:00,17-Sep-2026 12:05:00,open,NSE F&O,BANKNIFTY,BANKNIFTY FUT next,index_future,INR,native,FUTIDXBANKNIFTY27-10-2026XX0.00,27-Oct-2026,,,,30.0,0.2,,1.0,1.0,99.69,96.021592,56232.3,56737.0,56727.2,56757.4,56742.3,30.200000000004366,5.322308048846163,30.0,30.0,1701816.0,1702722.0,0.0,0.0,0.0,0.0,35735502.0,17029440.0,35735502.0,17029440.0,35735502.0,17029440.0,35735502.0,17029440.0,2.6611540244224408,2.661154024423723,2.6611540244224408,2.661154024423723,3.155152554330867,2.9979176820106375,3.544900084324249,3.0938898233326504,5,5,20430.0,17760.0,814.0,10487.0,1386624742.8,17-Sep-2026 12:04
