run_id,ts_utc,ts_ist,nse_phase,venue,symbol,label,kind,ccy,liquidity_source,identifier,expiry,strike,moneyness,dte,lot,tick,contract_value,qty_mult,px_to_inr,usdt_inr_mid,usd_inr_official,underlying,last,bid,ask,mid,spread,spread_bps,bid_qty_units,ask_qty_units,depth_touch_bid_inr,depth_touch_ask_inr,depth_bid_1bp_inr,depth_ask_1bp_inr,depth_bid_2bp_inr,depth_ask_2bp_inr,depth_bid_5bp_inr,depth_ask_5bp_inr,depth_bid_10bp_inr,depth_ask_10bp_inr,depth_bid_25bp_inr,depth_ask_25bp_inr,depth_bid_50bp_inr,depth_ask_50bp_inr,ic_buy_1L_bps,ic_sell_1L_bps,ic_buy_10L_bps,ic_sell_10L_bps,ic_buy_50L_bps,ic_sell_50L_bps,ic_buy_1cr_bps,ic_sell_1cr_bps,visible_levels_bid,visible_levels_ask,total_buy_units,total_sell_units,volume,oi,notional_traded_inr,source_ts
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY FUT near,index_future,INR,native,FUTIDXNIFTY29-09-2026XX0.00,29-Sep-2026,,,,65.0,0.1,,1.0,1.0,99.65,95.647843,23426.6,23444.9,23444.9,23445.1,23445.0,0.19999999999708962,0.08530603540076333,65.0,130.0,1523918.5,3047863.0,53336562.5,7619833.0,53336562.5,9143953.0,53336562.5,13716911.0,53336562.5,13716911.0,53336562.5,13716911.0,53336562.5,13716911.0,0.042653017700381664,0.042653017700381664,0.042653017700381664,0.042653017700381664,0.19252567190941486,0.07230612940134512,0.5819101153036376,0.0889594000449629,5,5,157430.0,256295.0,19939.0,247797.0,30374614999.95,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY FUT next,index_future,INR,native,FUTIDXNIFTY27-10-2026XX0.00,27-Oct-2026,,,,65.0,0.1,,1.0,1.0,99.65,95.647843,23427.8,23546.7,23539.5,23546.8,23543.15,7.299999999999272,3.1006895848683254,130.0,65.0,3060135.0,1530542.0,0.0,0.0,24480677.0,13775157.5,24480677.0,21429070.0,24480677.0,21429070.0,24480677.0,21429070.0,24480677.0,21429070.0,1.5503447924333902,1.5503447924349354,1.5503447924333902,1.5503447924349354,1.5798179384646094,1.5668240659703763,1.701614315345591,1.6292604178761891,5,5,95095.0,87035.0,8175.0,82893.0,12505145445.0,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY 23450 CE exp 29-Sep (6DTE),index_option_atm,INR,native,OPTIDXNIFTY29-09-2026CE23450.00,2026-09-29,23450.0,ATM,6,65.0,0.05,,1.0,1.0,99.65,95.647843,23427.8,111.4,111.1,111.35,111.225,0.25,22.47696111485727,1365.0,130.0,151651.5,14475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671199.75,586820.0,721659.25,710082.75,15.082892392395802,11.238480557428636,,,,,,,5,5,2275455.0,786695.0,1608823.0,98312.0,2463890624948.35,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY 23450 PE exp 29-Sep (6DTE),index_option_atm,INR,native,OPTIDXNIFTY29-09-2026PE23450.00,2026-09-29,23450.0,ATM,6,65.0,0.05,,1.0,1.0,99.65,95.647843,23427.8,111.15,111.15,111.4,111.275,0.25,22.466861379465286,650.0,2145.0,72247.5,238953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114443.5,883925.25,2265890.25,1094291.25,11.233430689732643,12.480859244881689,18.55969547693729,20.237624091818144,,,,,5,5,2276625.0,878800.0,1175398.0,98645.0,1800816638448.1,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY 23550 CE exp 29-Sep (6DTE),index_option_otm,INR,native,OPTIDXNIFTY29-09-2026CE23550.00,2026-09-29,23550.0,OTM100,6,65.0,0.05,,1.0,1.0,99.65,95.647843,23427.8,65.5,65.3,65.5,65.4,0.20000000000000284,30.581039755352116,2340.0,2730.0,152802.0,178815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415759.5,430199.25,1161121.0,805593.75,15.290519877674969,15.290519877677145,,29.0206044545568,,,,,5,5,2030015.0,548925.0,839915.0,60854.0,1289318953997.75,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,NIFTY,NIFTY 23350 PE exp 29-Sep (6DTE),index_option_otm,INR,native,OPTIDXNIFTY29-09-2026PE23350.00,2026-09-29,23350.0,OTM100,6,65.0,0.05,,1.0,1.0,99.65,95.647843,23427.8,72.0,72.0,72.2,72.1,0.20000000000000284,27.73925104022231,5590.0,845.0,402480.0,61009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650347.75,497760.25,1159496.0,1701583.0,16.572436425778193,13.869625520110171,23.923405947398265,21.2801270508103,,,,,5,5,2049190.0,1407120.0,1436869.0,118629.0,2189001598379.05,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,BANKNIFTY,BANKNIFTY FUT near,index_future,INR,native,FUTIDXBANKNIFTY29-09-2026XX0.00,29-Sep-2026,,,,30.0,0.2,,1.0,1.0,99.65,95.647843,56573.35,56697.6,56670.0,56699.4,56684.7,29.400000000001455,5.186584739797769,30.0,30.0,1700100.0,1700982.0,0.0,0.0,0.0,0.0,18700296.0,30618048.0,18700296.0,30618048.0,18700296.0,30618048.0,18700296.0,30618048.0,2.593292369899526,2.593292369898242,2.593292369899526,2.593292369898242,2.6398518130289252,2.812037420818564,2.663131450785856,2.943295204759568,5,5,44550.0,63750.0,6762.0,62497.0,11490990499.8,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,BANKNIFTY,BANKNIFTY FUT next,index_future,INR,native,FUTIDXBANKNIFTY27-10-2026XX0.00,27-Oct-2026,,,,30.0,0.2,,1.0,1.0,99.65,95.647843,56573.35,56981.0,56970.0,56990.0,56980.0,20.0,3.51000351000351,150.0,60.0,8545500.0,3419400.0,0.0,0.0,10254564.0,3419400.0,15380814.0,30777648.0,15380814.0,30777648.0,15380814.0,30777648.0,15380814.0,30777648.0,1.755001755001755,1.755001755001755,1.755001755001755,1.755001755001755,1.9658127808395025,1.755001755001755,2.1938524020674213,1.7856341070152735,5,5,23880.0,25170.0,2153.0,16331.0,3678069153.3,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,BANKNIFTY,BANKNIFTY 56600 CE exp 29-Sep (6DTE),index_option_atm,INR,native,OPTIDXBANKNIFTY29-09-2026CE56600.00,2026-09-29,56600.0,ATM,6,30.0,0.05,,1.0,1.0,99.65,95.647843,56573.35,346.4,345.4,346.25,345.825,0.8500000000000227,24.578905515796222,60.0,30.0,20724.0,10387.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165703.5,145482.0,165703.5,145482.0,15.368575128683277,16.275654261734243,,,,,,,5,5,33510.0,72510.0,134049.0,14112.0,228984472320.3,23-Sep-2026 13:54
20260923T082500Z,2026-09-23T08:25:00.109940+00:00,23-Sep-2026 13:55:00,open,NSE F&O,BANKNIFTY,BANKNIFTY 56600 PE exp 29-Sep (6DTE),index_option_atm,INR,native,OPTIDXBANKNIFTY29-09-2026PE56600.00,2026-09-29,56600.0,ATM,6,30.0,0.05,,1.0,1.0,99.65,95.647843,56573.35,272.25,272.0,272.15,272.075,0.14999999999997726,5.513185702470909,750.0,30.0,204000.0,8164.499999999999,0.0,0.0,0.0,0.0,204000.0,8164.499999999999,204000.0,8164.499999999999,220284.0,114426.0,358648.5,114426.0,12.952592724434446,2.7565928512354545,,,,,,,5,5,41580.0,58350.0,92383.0,14702.0,157685364724.8,23-Sep-2026 13:54
